at_risk_market,connected_shocked_markets,max_correlation,propagation_risk_score,estimated_days_until_shock,warning
Bahraich,56,0.98,5488.0,1,⚠️ SELL NOW
Anwala,59,0.929,5481.1,1,⚠️ SELL NOW
Farukh Nagar,59,0.928,5475.2,1,⚠️ SELL NOW
Dewas(F&V),59,0.927,5469.3,1,⚠️ SELL NOW
Bilaspur,58,0.938,5440.4,1,⚠️ SELL NOW
Ambala Cantt.,58,0.936,5428.8,1,⚠️ SELL NOW
Bhawanipatna,57,0.952,5426.4,1,⚠️ SELL NOW
Atarra,56,0.964,5398.4,1,⚠️ SELL NOW
Abu Road,57,0.946,5392.2,1,⚠️ SELL NOW
Banda,56,0.961,5381.6,1,⚠️ SELL NOW
Balrampur,57,0.944,5380.8,1,⚠️ SELL NOW
Gadaura,58,0.926,5370.8,1,⚠️ SELL NOW
Churu,55,0.976,5368.0,1,⚠️ SELL NOW
Bilimora,55,0.974,5357.0,1,⚠️ SELL NOW
Jahangirabad,56,0.956,5353.6,1,⚠️ SELL NOW
Chaandpur,56,0.954,5342.4,1,⚠️ SELL NOW
Alipurduar,55,0.969,5329.5,1,⚠️ SELL NOW
Ballabhgarh,56,0.951,5325.6,1,⚠️ SELL NOW
Azadpur,55,0.966,5313.0,1,⚠️ SELL NOW
Bijnaur,57,0.931,5306.7,1,⚠️ SELL NOW
Gurgaon,55,0.964,5302.0,1,⚠️ SELL NOW
Ch. Dadri,56,0.944,5286.4,1,⚠️ SELL NOW
Gohana,56,0.942,5275.2,1,⚠️ SELL NOW
Ahmednagar,55,0.959,5274.5,1,⚠️ SELL NOW
Dhupguri,56,0.938,5252.8,1,⚠️ SELL NOW
Jasvantnagar,55,0.955,5252.5,1,⚠️ SELL NOW
Dudhi,57,0.919,5238.3,1,⚠️ SELL NOW
Champadanga,54,0.967,5221.8,1,⚠️ SELL NOW
Chathanoor,53,0.984,5215.2,1,⚠️ SELL NOW
Amritsar(Amritsar Mewa Mandi),55,0.944,5192.0,1,⚠️ SELL NOW
Belacoba,55,0.937,5153.5,1,⚠️ SELL NOW
Barnala,55,0.935,5142.5,1,⚠️ SELL NOW
Alwar (F&V),55,0.933,5131.5,1,⚠️ SELL NOW
Hamirpur,54,0.949,5124.6,1,⚠️ SELL NOW
Balugaon,54,0.945,5103.0,1,⚠️ SELL NOW
Chikkamagalore,54,0.938,5065.2,1,⚠️ SELL NOW
Gharaunda,55,0.92,5060.0,1,⚠️ SELL NOW
Bhiwani,55,0.918,5049.0,1,⚠️ SELL NOW
Barasat,54,0.932,5032.8,1,⚠️ SELL NOW
Balarampur,54,0.93,5022.0,1,⚠️ SELL NOW
Anoop Shahar,54,0.929,5016.6,1,⚠️ SELL NOW
Ahmedabad,52,0.961,4997.2,1,⚠️ SELL NOW
Alappuzha,51,0.973,4962.3,1,⚠️ SELL NOW
"Binny Mill (F&V), Bangalore",51,0.973,4962.3,1,⚠️ SELL NOW
Angamaly,51,0.971,4952.1,1,⚠️ SELL NOW
Birbhum,53,0.934,4950.2,1,⚠️ SELL NOW
"Anand(Veg,Yard,Anand)",51,0.97,4947.0,1,⚠️ SELL NOW
Ankleshwar,53,0.931,4934.3,1,⚠️ SELL NOW
Ganaur,53,0.93,4929.0,1,⚠️ SELL NOW
Athirampuzha,53,0.93,4929.0,1,⚠️ SELL NOW
Gudimalkapur,50,0.985,4925.0,1,⚠️ SELL NOW
Attingal,51,0.962,4906.2,1,⚠️ SELL NOW
Durg,51,0.961,4901.1,1,⚠️ SELL NOW
Junnar(Narayangaon),52,0.939,4882.8,1,⚠️ SELL NOW
Barara,55,0.885,4867.5,1,⚠️ SELL NOW
Bhuntar,53,0.918,4865.4,1,⚠️ SELL NOW
Alirajpur(F&V),52,0.933,4851.6,1,⚠️ SELL NOW
Bangarpet,52,0.929,4830.8,1,⚠️ SELL NOW
Habra,51,0.944,4814.4,1,⚠️ SELL NOW
Bayana,51,0.94,4794.0,1,⚠️ SELL NOW
Aralamoodu,50,0.957,4785.0,1,⚠️ SELL NOW
Indore(F&V),50,0.952,4760.0,1,⚠️ SELL NOW
Jagadhri,55,0.862,4741.0,1,⚠️ SELL NOW
Durgapur,50,0.939,4695.0,1,⚠️ SELL NOW
Dinanagar,53,0.884,4685.2,1,⚠️ SELL NOW
Chutmalpur,51,0.917,4676.7,1,⚠️ SELL NOW
Adimali,49,0.951,4659.9,1,⚠️ SELL NOW
Dhand,54,0.862,4654.8,1,⚠️ SELL NOW
Channapatana,48,0.96,4608.0,1,⚠️ SELL NOW
Chhachrauli,58,0.782,4535.6,2,⚠️ SELL NOW
Chakdah,49,0.92,4508.0,1,⚠️ SELL NOW
Adilabad(Rythu Bazar),49,0.916,4488.4,1,⚠️ SELL NOW
Dhamnod,50,0.886,4430.0,1,⚠️ SELL NOW
Chatta Krushak Bazar,49,0.892,4370.8,1,⚠️ SELL NOW
